"Reference","Value","Footprint","Datasheet","Qty","DNP"
"A1","Arduino Nano","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf","1",""
"C1","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","1",""
"C2","47uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1",""
"D1","POWER","LED_THT:LED_D5.0mm","~","1",""
"J1","~","LocalFP:EFAEdge","","1",""
"J2","SD Card","OLED:SD_Card_Module","http://portal.fciconnect.com/Comergent//fci/drawing/10067847.pdf","1",""
"R1","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R2,R3","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","2",""
"SW1","Up","Button_Switch_THT:SW_PUSH-12mm","~","1",""
"SW2","Down","Button_Switch_THT:SW_PUSH-12mm","~","1",""
"SW3","Program","Button_Switch_THT:SW_PUSH-12mm","~","1",""
"SW4","Root","Button_Switch_THT:SW_PUSH-12mm","~","1",""
"U1","74LS245","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245","1",""
"U2","DM-OLED096-636","OLED:DM-OLED096-636","","1",""
