"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4","4","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C5,C6,C7,C8,C9,C10,C11","7","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"D1","1","POWER","","","","LED_THT:LED_D5.0mm","~"
"H1,H2,H3,H4,H5,H6","6","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","Conn_01x02_Pin","","","","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~"
"J2,J4","2","Conn_02x22_Top_Bottom","","","","LocalFP:EFAPinHeader_2x22","~"
"J3","1","Conn_02x07_Counter_Clockwise","","","","Package_DIP:DIP-14_W7.62mm","~"
"P1,P2,P3,P4,P5","5","EFA 4 Edge","","","","LocalFP:EBM22DRXH_label_EFA4",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11","11","1K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U1","1","4001","","","","Package_DIP:DIP-14_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4000bms-01bms-02bms-25bms.pdf"
"U2","1","4011","","","","Package_DIP:DIP-14_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf"
"U3","1","4023","","","","Package_DIP:DIP-14_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4011bms-12bms-23bms.pdf"
"U4","1","74HC245","","","","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74HC245"
